@relation myRelation

@attribute diff numeric
@attribute yaw numeric
@attribute pitch numeric
@attribute roll numeric
@attribute neutral numeric
@attribute happy numeric
@attribute surprised numeric
@attribute angry numeric
@attribute disgusted numeric
@attribute afraid numeric
@attribute sad numeric
@attribute aNominal {1,2,3,4,5}

@data
1,0.040206,0.000952,-0.007068,0.43766,0.014436,0.157056,0.005259,0.00609,0.004198,0.375302,1
1,0.054516,0.002199,0.00567,0.724866,0.013399,0.089121,0.035268,0.00741,0.002291,0.127645,1
1,0.058652,0.007876,-0.006098,0.580356,0.013647,0.122517,0.018834,0.006366,0.003119,0.255162,1
1,0.062419,-0.009342,-0.009831,0.61233,0.012763,0.126297,0.019221,0.006148,0.00431,0.218931,1
1,0.057574,0.002499,-0.009076,0.606066,0.01824,0.115945,0.029963,0.008479,0.002428,0.218877,1
1,0.06926,-0.00261,-0.017197,0.697125,0.023571,0.087527,0.044462,0.094288,0.004926,0.048101,1
1,0.069079,-0.013217,-0.024467,0.629056,0.051205,0.05562,0.140097,0.073716,0.009924,0.039226,1
1,0.063533,0.012339,-0.005958,0.71273,0.03167,0.079538,0.024337,0.044077,0.019129,0.087495,1
1,0.073592,0.008388,-0.004883,0.648273,0.057892,0.091122,0.038718,0.099055,0.00869,0.054879,1
1,0.06746,0.005668,0.004154,0.684905,0.064567,0.077872,0.021406,0.099375,0.009694,0.040755,1
1,0.067397,-0.01257,0.002841,0.707785,0.034377,0.066832,0.024136,0.087949,0.040904,0.035863,1
2,0.026416,-0.074897,0.001912,0.732364,0.05273,0.044719,0.141245,0.010799,0.002039,0.016103,1
2,0.021073,-0.059147,-0.000228,0.762497,0.042444,0.054156,0.097897,0.017529,0.002122,0.023354,1
2,0.026691,-0.055833,0.003509,0.780037,0.052151,0.04278,0.08356,0.019003,0.002131,0.020337,1
2,0.026223,-0.063431,-0.000919,0.763145,0.047087,0.050138,0.09969,0.012959,0.001725,0.025255,1
2,0.023261,-0.074255,0.00121,0.743556,0.049938,0.045037,0.130514,0.0128,0.001761,0.016395,1
2,0.026661,-0.063416,-0.001153,0.687692,0.036359,0.053498,0.181621,0.017016,0.002131,0.021684,1
2,0.026573,-0.062858,-0.001648,0.689409,0.039586,0.042444,0.161471,0.041949,0.002624,0.019914,1
2,-0.01932,-0.105939,0.003099,0.631396,0.046371,0.064451,0.115596,0.081346,0.031919,0.019533,1
2,0.034766,-0.076811,-0.002764,0.708315,0.054964,0.044806,0.126485,0.040315,0.002678,0.019081,1
2,0.029334,-0.071391,-0.010411,0.638008,0.038749,0.061536,0.202932,0.028805,0.00284,0.024473,1
3,0.056407,-0.042169,-0.006632,0.762951,0.018813,0.077639,0.052323,0.020327,0.001899,0.066047,2
3,0.055821,-0.035685,-0.00334,0.717801,0.037971,0.050354,0.097122,0.030934,0.011346,0.048383,2
3,0.059614,-0.017269,-0.001325,0.611699,0.028448,0.105847,0.106429,0.016915,0.00884,0.119158,2
