@relation myRelation

@attribute diff numeric
@attribute yaw numeric
@attribute pitch numeric
@attribute roll numeric
@attribute neutral numeric
@attribute happy numeric
@attribute surprised numeric
@attribute angry numeric
@attribute disgusted numeric
@attribute afraid numeric
@attribute sad numeric
@attribute aNominal {1,2,3,4,5}

@data
1,0.036397,-0.005178,0.013554,0.418341,0.009735,0.155146,0.022849,0.005769,0.009841,0.363194,1
1,0.071398,-0.00095,0.008251,0.702067,0.014265,0.098231,0.019796,0.004445,0.003948,0.157247,1
1,0.067865,0.00035,0.003416,0.620972,0.011964,0.121644,0.016016,0.004525,0.003619,0.22126,1
1,0.072799,-0.009527,0.000991,0.66624,0.017412,0.10248,0.025389,0.004349,0.004474,0.179655,1
1,0.070743,-0.005838,-0.002004,0.679987,0.018904,0.099674,0.029109,0.006606,0.003288,0.162431,1
1,0.014415,-0.010058,0.00576,0.502529,0.066378,0.163437,0.099548,0.042812,0.030253,0.095025,1
1,0.05609,-0.00908,-0.015526,0.69932,0.019707,0.079572,0.060181,0.08597,0.005167,0.050083,1
1,0.065692,-0.005613,-0.017007,0.739051,0.020475,0.077339,0.038109,0.071669,0.005473,0.047884,1
1,0.062256,-0.005042,-0.009718,0.70794,0.024584,0.075945,0.040177,0.098144,0.005999,0.047212,1
1,0.062693,-0.002044,-0.011746,0.662264,0.018832,0.104795,0.044884,0.102064,0.005692,0.061469,1
1,0.066769,-0.000652,-0.005125,0.698887,0.025417,0.089357,0.033465,0.097187,0.006492,0.049194,1
1,0.055953,-0.012095,-0.00989,0.703319,0.02451,0.072366,0.045383,0.105763,0.00535,0.043309,1
2,0.016092,-0.079319,0.0061,0.552967,0.024749,0.062941,0.30401,0.005929,0.002055,0.037043,1
2,0.013714,-0.067945,-0.00017,0.667244,0.028368,0.062175,0.194442,0.016202,0.002225,0.029343,2
2,0.012724,-0.058987,0.005615,0.688481,0.0313,0.055379,0.160385,0.032638,0.002911,0.027085,1
2,0.017168,-0.072805,0.00179,0.677056,0.037522,0.054416,0.192308,0.013346,0.002664,0.022688,2
2,?,?,?,?,?,?,?,?,?,?,2
2,0.028826,-0.041464,-0.007097,0.527715,0.062962,0.053343,0.27193,0.028311,0.003499,0.051744,1
